# Source-delivery lock for guest corresponding-source investigation.
# Columns: id<TAB>filename<TAB>bytes<TAB>sha256<TAB>official URL<TAB>relation
apk-tools-source	apk-tools-v3.0.6.tar.gz	384537	e9b62742ef7e9e8c1c051efdaed3a2f49d06d8ce20c707697aa23d29bbc7c86a	https://gitlab.alpinelinux.org/alpine/apk-tools/-/archive/v3.0.6/apk-tools-v3.0.6.tar.gz	version source tarball; SHA-512 matches fixed Alpine apk-tools APKBUILD
tree-source	unix-tree-2.3.2.tar.gz	70834	513a53cbc42ca1f4ea06af2bab1f5283524a3848266b1d162416f8033afc4985	https://gitlab.com/OldManProgrammer/unix-tree/-/archive/2.3.2/unix-tree-2.3.2.tar.gz	version source tarball; SHA-512 matches fixed Alpine tree APKBUILD
busybox-apkbuild	busybox-APKBUILD-c3ef5d10e6ef6528852c51f0564963e2f8c1be19	24569	98f019f62291aff63cb798f046fb59dfd43340885de63ca2f127651fc21d0450	https://gitlab.alpinelinux.org/alpine/aports/-/raw/c3ef5d10e6ef6528852c51f0564963e2f8c1be19/main/busybox/APKBUILD	Alpine APKBUILD for 1.37.0-r31
apk-tools-apkbuild	apk-tools-APKBUILD-1403ea7a8ae3fb8e5a11207ddb1ff536eb8de912	4179	5fa1b3168b587ae9a95c3106accfaaa2f738934d66f4bb0b52ddb51f3962af63	https://gitlab.alpinelinux.org/alpine/aports/-/raw/1403ea7a8ae3fb8e5a11207ddb1ff536eb8de912/main/apk-tools/APKBUILD	Alpine APKBUILD for 3.0.6-r0
musl-apkbuild	musl-APKBUILD-f5640d3a10f664c9119720c60515265d3d6f6d01	6282	db4e568cdf2b256815fdfdb55704cd2efdffdc0e8ecd0cb935fdc3e89e2140f4	https://gitlab.alpinelinux.org/alpine/aports/-/raw/f5640d3a10f664c9119720c60515265d3d6f6d01/main/musl/APKBUILD	Alpine APKBUILD for 1.2.6-r2
zlib-apkbuild	zlib-APKBUILD-f248b33b5943c7dc69bf691031d7612ab2e8ed93	924	7b8d064be19f39b5e921e9e2dddb960964c6e159ca035848cc362375f0da9b9f	https://gitlab.alpinelinux.org/alpine/aports/-/raw/f248b33b5943c7dc69bf691031d7612ab2e8ed93/main/zlib/APKBUILD	Alpine APKBUILD for 1.3.2-r0
tree-apkbuild	tree-APKBUILD-429bf8299b274b32b6bb940fd5b1ba171e32872a	742	07231d1115c08976a1ce12e63fd2d5344051df258cf3e2f738aa19131bffaef5	https://gitlab.alpinelinux.org/alpine/aports/-/raw/429bf8299b274b32b6bb940fd5b1ba171e32872a/main/tree/APKBUILD	Alpine APKBUILD for 2.3.2-r0
openssl-apkbuild	openssl-APKBUILD-4a4352d83ab03720965454a8c7b30b1b6a996c84	7053	63b8a9adf00a6076c830b79e4c1f56d9ac57f29a4b068e0d5bf7c62073758ea2	https://gitlab.alpinelinux.org/alpine/aports/-/raw/4a4352d83ab03720965454a8c7b30b1b6a996c84/main/openssl/APKBUILD	Alpine APKBUILD for 3.5.7-r0
busybox-0001-awk-fix-handling-of-literal-backslashes-in-replaceme	busybox-0001-awk-fix-handling-of-literal-backslashes-in-replaceme.patch	2187	522e48b25b320b854885419f3ee3a092bd58ad2ed111da87a57cafbc8420feae	https://gitlab.alpinelinux.org/alpine/aports/-/raw/c3ef5d10e6ef6528852c51f0564963e2f8c1be19/main/busybox/0001-awk-fix-handling-of-literal-backslashes-in-replaceme.patch	BusyBox Alpine patch from c3ef5d10
busybox-0001-blkdiscard-ship-link-to-sbin-instead-of-usr-bin	busybox-0001-blkdiscard-ship-link-to-sbin-instead-of-usr-bin.patch	1100	f490ce643412a33dfd3c92aaaeff501a10c0f78662172d1cf55e5d632b7f8033	https://gitlab.alpinelinux.org/alpine/aports/-/raw/c3ef5d10e6ef6528852c51f0564963e2f8c1be19/main/busybox/0001-blkdiscard-ship-link-to-sbin-instead-of-usr-bin.patch	BusyBox Alpine patch from c3ef5d10
