# Resolved dependency scope for runtime commit 2b66dd9 crates/rish-guest-agent.
# Columns: role<TAB>crate/source<TAB>version<TAB>Cargo.lock checksum<TAB>license metadata<TAB>source URL<TAB>copied license text(s)
runtime	base64	0.22.1	72b3254f16251a8381aa12e40e3c4d2f0199f8c6508fbecb9d91f575e0fbb8c6	MIT OR Apache-2.0	https://crates.io/crates/base64/0.22.1	rust license files: rust-a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2-LICENSE-APACHE.txt; rust-0dd882e53de11566d50f8e8e2d5a651bcf3fabee4987d70f306233cf39094ba7-LICENSE-MIT.txt
runtime	serde	1.0.229	4148590afebada386688f18773da617792bf2ef03ffc1e4cbd2b1d45b023e0ba	MIT OR Apache-2.0	https://crates.io/crates/serde/1.0.229	rust-62c7a1e35f56406896d7aa7ca52d0cc0d272ac022b5d2796e7d6905db8a3636a-LICENSE-APACHE.txt; rust-23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3-LICENSE-MIT.txt
runtime	serde_core	1.0.229	67dca2c9c51e58a4791a4b1ed58308b39c64224d349a935ab5039aa360942a48	MIT OR Apache-2.0	https://crates.io/crates/serde_core/1.0.229	rust-62c7a1e35f56406896d7aa7ca52d0cc0d272ac022b5d2796e7d6905db8a3636a-LICENSE-APACHE.txt; rust-23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3-LICENSE-MIT.txt
runtime	serde_json	1.0.151	c841b55ecdae098c80dcae9cf767f6f8a0c2cdb3416bbef72181df4d0fe73f14	MIT OR Apache-2.0	https://crates.io/crates/serde_json/1.0.151	rust-62c7a1e35f56406896d7aa7ca52d0cc0d272ac022b5d2796e7d6905db8a3636a-LICENSE-APACHE.txt; rust-23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3-LICENSE-MIT.txt
runtime	itoa	1.0.18	8f42a60cbdf9a97f5d2305f08a87dc4e09308d1276d28c869c684d7777685682	MIT OR Apache-2.0	https://crates.io/crates/itoa/1.0.18	rust-62c7a1e35f56406896d7aa7ca52d0cc0d272ac022b5d2796e7d6905db8a3636a-LICENSE-APACHE.txt; rust-23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3-LICENSE-MIT.txt
runtime	memchr	2.8.3	cf8baf1c55e62ffcace7a9f06f4bd9cd3f0c4beb022d3b367256b91b87513d98	Unlicense OR MIT	https://crates.io/crates/memchr/2.8.3	rust-01c266bced4a434da0051174d6bee16a4c82cf634e2679b6155d40d75012390f-COPYING.txt; rust-0f96a83840e146e43c0ec96a22ec1f392e0680e6c1226e6f3ba87e0740af850f-LICENSE-MIT.txt; rust-7e12e5df4bae12cb21581ba157ced20e1986a0508dd10d0e8a4ab9a4cf94e85c-UNLICENSE.txt
runtime	zmij	1.0.23	29666d0abbfad1e3dc4dcf6144730dd3a3ab225bbbdac83319345b1b44ccfc1b	MIT	https://crates.io/crates/zmij/1.0.23	rust-23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3-LICENSE-MIT.txt
runtime	rustix	1.1.4	b6fe4565b9518b83ef4f91bb47ce29620ca828bd32cb7e408f0062e9930ba190	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	https://crates.io/crates/rustix/1.1.4	rust-62c7a1e35f56406896d7aa7ca52d0cc0d272ac022b5d2796e7d6905db8a3636a-LICENSE-APACHE.txt; rust-268872b9816f90fd8e85db5a28d33f8150ebb8dd016653fb39ef1f94f2686bc5-LICENSE-Apache-2.0_WITH_LLVM-exception.txt; rust-23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3-LICENSE-MIT.txt
runtime	bitflags	2.13.1	b588b76d00fde79687d7646a9b5bdf3cc0f655e0bbd080335a95d7e96f3587da	MIT OR Apache-2.0	https://crates.io/crates/bitflags/2.13.1	rust-a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2-LICENSE-APACHE.txt; rust-6485b8ed310d3f0340bf1ad1f47645069ce4069dcc6bb46c7d5c6faf41de1fdb-LICENSE-MIT.txt
runtime	errno	0.3.14	39cab71617ae0d63f51a36d69f866391735b51691dbda63cf6f96d042b63efeb	MIT OR Apache-2.0	https://crates.io/crates/errno/0.3.14	rust-a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2-LICENSE-APACHE.txt; rust-8764a597675778ddfd4e25f81b08a05dbcf089ac05662df7613fe67f150e3aa2-LICENSE-MIT.txt
runtime	libc	0.2.189	3eaf3ede3fee6db1a4c2ee091bf8a8b4dccdc6d17f656fb07896ee72867612f2	MIT OR Apache-2.0	https://crates.io/crates/libc/0.2.189	rust-62c7a1e35f56406896d7aa7ca52d0cc0d272ac022b5d2796e7d6905db8a3636a-LICENSE-APACHE.txt; rust-123a331b5dbf04c30097fa43b8f858bc85df671fe776de498d01f3d6b7c1f69e-LICENSE-MIT.txt
